Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
Avengers: Endgame,2019,Anthony Russo|Joe Russo,Trent Opaloch,Jeffrey Ford|Matthew Schmidt,Charles Wood,Stephen McFeely|Christopher Markus,Kevin Feige,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Josh Brolin|Don Cheadle|Paul Rudd|Benedict Cumberbatch,Marvel Studios,United States of America,Avengers: Endgame,299534,tt4154796,9.0
Avengers: Infinity War,2018,Anthony Russo|Joe Russo,Trent Opaloch,Jeffrey Ford|Matthew Schmidt,Charles Wood,Christopher Markus|Stephen McFeely,Kevin Feige,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo|Scarlett Johansson|Don Cheadle|Benedict Cumberbatch|Tom Holland|Chadwick Boseman,Marvel Studios,United States of America,Avengers: Infinity War,299536,tt4154756,9.0
Baby Driver,2017,Edgar Wright,Bill Pope,Paul Machliss|Jonathan Amos,Marcus Rowland,Edgar Wright,Eric Fellner|Tim Bevan|Nira Park,Ansel Elgort|Kevin Spacey|Lily James|Jon Hamm|Jamie Foxx|Jon Bernthal|Eiza González|Flea|CJ Jones|Lanny Joon,Big Talk Studios|Working Title Films|MRC,United Kingdom|United States of America,Baby Driver,339403,tt3890160,9.0
Babylon,2022,Damien Chazelle,Linus Sandgren,Tom Cross,Florencia Martin,Damien Chazelle,Olivia Hamilton|Matthew Plouffe|Marc Platt,Diego Calva|Margot Robbie|Brad Pitt|Jovan Adepo|Jean Smart|J.C. Currais|Jimmy Ortega|Marcos A. Ferraez|Shane Powers|Phoebe Tonkin,Paramount Pictures|Marc Platt Productions|C2 Motion Picture Group|Organism Pictures|Wild Chickens Productions,United States of America,Babylon,615777,tt10640346,6.0
Back to School,1986,Alan Metter,Thomas E. Ackerman,David Rawlins,David L. Snyder,Harold Ramis|Rodney Dangerfield|Greg Fields|William Porter|Dennis Snee|PJ Torokvei|Steven Kampmann,Chuck Russell,Rodney Dangerfield|Sally Kellerman|Burt Young|Keith Gordon|Robert Downey Jr.|William Zabka|Paxton Whitehead|Adrienne Barbeau|M. Emmet Walsh|Terry Farrell,Orion Pictures|Paper Clip Productions,United States of America,Back to School,15596,tt0090685,4.0
Back to the Future,1985,Robert Zemeckis,Dean Cundey,Arthur Schmidt|Harry Keramidas,Lawrence G. Paull,Bob Gale|Robert Zemeckis,Bob Gale|Neil Canton,Michael J. Fox|Christopher Lloyd|Crispin Glover|Lea Thompson|Claudia Wells|Thomas F. Wilson|Marc McClure|Wendie Jo Sperber|George DiCenzo|Frances Lee McCain,Universal Pictures|Amblin Entertainment,United States of America,Back to the Future,105,tt0088763,7.0
Bao,2018,Domee Shi,Patrick Lin|Ian Megibben,Katherine Ringgold,Rona Liu,Domee Shi,Becky Neiman-Cobb,Daniel Kailin|Sindy Lau|Sharmaine Yeoh|Tim Zhang,Pixar,United States of America,Bao,514754,tt8075496,7.0
Baraka,1992,Ron Fricke,Ron Fricke,David Aubrey|Ron Fricke|Mark Magidson,,Constantine Nicholas|Genevieve Nicholas|Ron Fricke|Mark Magidson,Mark Magidson|Alton Walpole,Patrick Disanto,Magidson Films,United States of America,Baraka,14002,tt0103767,9.0
Barbie,2023,Greta Gerwig,Rodrigo Prieto,Nick Houy,Sarah Greenwood,Noah Baumbach|Greta Gerwig,Robbie Brenner|David Heyman|Tom Ackerley|Margot Robbie,Margot Robbie|Ryan Gosling|America Ferrera|Ariana Greenblatt|Issa Rae|Kate McKinnon|Alexandra Shipp|Emma Mackey|Hari Nef|Sharon Rooney,LuckyChap Entertainment|Heyday Films|NB/GG Pictures|Mattel|Warner Bros. Pictures,United Kingdom|United States of America,Barbie,346698,tt1517268,8.0
Barton Fink,1991,Joel Coen,Roger Deakins,Ethan Coen|Joel Coen,Dennis Gassner,Joel Coen|Ethan Coen,Ethan Coen,John Turturro|John Goodman|Judy Davis|Michael Lerner|John Mahoney|Tony Shalhoub|Jon Polito|Steve Buscemi|David Warrilow|Richard Portnow,Working Title Films|Circle Films,United Kingdom|United States of America,Barton Fink,290,tt0101410,7.0
Batman Begins,2005,Christopher Nolan,Wally Pfister,Lee Smith,Nathan Crowley,David S. Goyer|Christopher Nolan,Emma Thomas|Charles Roven|Larry Franco|Lorne Orleans,Christian Bale|Michael Caine|Liam Neeson|Katie Holmes|Gary Oldman|Cillian Murphy|Tom Wilkinson|Rutger Hauer|Ken Watanabe|Mark Boone Junior,Warner Bros. Pictures|DC|Syncopy|Legendary Pictures|Patalex III Productions,United Kingdom|United States of America,Batman Begins,272,tt0372784,8.0
Beasts of the Southern Wild,2012,Benh Zeitlin,Ben Richardson,Crockett Doob|Affonso Gonçalves,Alex DiGerlando,Benh Zeitlin|Lucy Alibar,Michael Gottwald|Dan Janvey|Josh Penn,Quvenzhané Wallis|Dwight Henry|Levy Easterly|Gina Montana|Lowell Landes|Pamela Harper|Amber Henry|Jonshel Alexander|Nicholas Clark|Joseph Brown,Cinereach|Court 13 Pictures|Journeyman Pictures|Seville International,Canada|United States of America,Beasts of the Southern Wild,84175,tt2125435,6.0
Beetlejuice,1988,Tim Burton,Thomas E. Ackerman,Jane Kurson,Bo Welch,Michael McDowell|Larry Wilson|Warren Skaaren,Michael Bender|Richard Hashimoto|Larry Wilson,Alec Baldwin|Geena Davis|Winona Ryder|Catherine O'Hara|Jeffrey Jones|Michael Keaton|Glenn Shadix|Sylvia Sidney|Patrice Martinez|Dick Cavett,Geffen Pictures|Warner Bros. Pictures,United States of America,Beetlejuice,4011,tt0094721,9.0
Beetlejuice Beetlejuice,2024,Tim Burton,Haris Zambarloukos,Jay Prychidny,Mark Scruton,Miles Millar|Alfred Gough|Seth Grahame-Smith,Dede Gardner|Jeremy Kleiner|Tim Burton|Marc Toberoff|Tommy Harper,Michael Keaton|Winona Ryder|Catherine O'Hara|Jenna Ortega|Justin Theroux|Willem Dafoe|Monica Bellucci|Arthur Conti|Nick Kellington|Santiago Cabrera,Warner Bros. Pictures|Geffen Pictures|Plan B Entertainment|Tim Burton Productions|Tommy Harper Productions|Domain Entertainment,United States of America,Beetlejuice Beetlejuice,917496,tt2049403,8.0
Before the Flood,2016,Fisher Stevens,Antonio Rossi,Geoffrey Richman|Abhay Sofsky|Ben Sozanski|Brett Banks,,Mark Monroe,Fisher Stevens|Brett Ratner|Trevor Davidoski|James Packer|Jennifer Davisson,Leonardo DiCaprio|Bill Clinton|John Kerry|Barack Obama|Elon Musk|Pope Francis|Ban Ki-moon|Alejandro G. Iñárritu|Michael Brune|Marc Mageau,RatPac Documentary Films|Appian Way|National Geographic|Diamond Docs,United States of America,Before the Flood,410718,tt5929776,8.0
Being John Malkovich,1999,Spike Jonze,Lance Acord,Eric Zumbrunnen,K.K. Barrett,Charlie Kaufman,Michael Stipe|Sandy Stern|Steve Golin|Vincent Landay,John Cusack|Cameron Diaz|John Malkovich|Catherine Keener|Orson Bean|Mary Kay Place|W. Earl Brown|Carlos Jacott|Willie Garson|Byrne Piven,Propaganda Films|Single Cell Pictures|Gramercy Pictures,United States of America,Being John Malkovich,492,tt0120601,9.0
Ben-Hur,1959,William Wyler,Robert Surtees,Ralph E. Winters|John D. Dunning,,Karl Tunberg,Sam Zimbalist,Charlton Heston|Stephen Boyd|Hugh Griffith|Jack Hawkins|Haya Harareet|Martha Scott|Cathy O'Donnell|Sam Jaffe|Finlay Currie|Frank Thring,Metro-Goldwyn-Mayer,United States of America,Ben-Hur,665,tt0052618,8.0
Best in Show,2000,Christopher Guest,Roberto Schaefer,Robert Leighton,Joseph T. Garrity,Christopher Guest|Eugene Levy,Karen Murphy,Bob Balaban|Jennifer Coolidge|Christopher Guest|John Michael Higgins|Michael Hitchcock|Eugene Levy|Jane Lynch|Michael McKean|Catherine O'Hara|Parker Posey,Castle Rock Entertainment,United States of America,Best in Show,13785,tt0218839,7.0
Between Two Ferns: The Movie,2019,Scott Aukerman,Benjamin Kasulke,Brendan Walsh|Hank Friedmann,Susie Mancini,Scott Aukerman|Zach Galifianakis,Zach Galifianakis|Scott Aukerman|Caitlin Daley|Mike Farah,Zach Galifianakis|Lauren Lapkus|Ryan Gaul|Jiavani|Will Ferrell|Matthew McConaughey|David Letterman|Peter Dinklage|Jon Hamm|John Legend,Funny or Die,United States of America,Between Two Ferns: The Movie,584962,tt9398640,7.0
Big,1988,Penny Marshall,Barry Sonnenfeld,Barry Malkin,Santo Loquasto,Anne Spielberg|Gary Ross,James L. Brooks|Robert Greenhut,Tom Hanks|Elizabeth Perkins|Robert Loggia|John Heard|Jared Rushton|David Moscow|Jon Lovitz|Mercedes Ruehl|Josh Clark|Kimberlee M. Davis,American Entertainment Partners II L.P.|Gracie Films|20th Century Fox,United States of America,Big,2280,tt0094737,6.0
Big Hero 6,2014,Don Hall|Chris Williams,Rob Dressel,Tim Mertens,,Robert L. Baird|Jordan Roberts|Daniel Gerson|Joseph Mateo,Roy Conli,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung|Damon Wayans Jr.|Genesis Rodriguez|James Cromwell|Alan Tudyk|Maya Rudolph,Walt Disney Animation Studios,United States of America,Big Hero 6,177572,tt2245084,4.0
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,Emmanuel Lubezki,Douglas Crise|Stephen Mirrione,Kevin Thompson,Alejandro G. Iñárritu|Nicolás Giacobone|Alexander Dinelaris|Armando Bo,Alejandro G. Iñárritu|Arnon Milchan|John Lesher|James W. Skotchdopole,Michael Keaton|Emma Stone|Zach Galifianakis|Edward Norton|Andrea Riseborough|Naomi Watts|Amy Ryan|Lindsay Duncan|Merritt Wever|Jeremy Shamos,TSG Entertainment|Worldview Entertainment|New Regency Pictures|M Productions|Le Grisbi Productions,United States of America,Birdman or (The Unexpected Virtue of Ignorance),194662,tt2562232,3.0
Black Hawk Down,2001,Ridley Scott,Sławomir Idziak,Pietro Scalia,Arthur Max,Ken Nolan,Ridley Scott|Jerry Bruckheimer,Josh Hartnett|Eric Bana|Ewan McGregor|Tom Sizemore|William Fichtner|Sam Shepard|Jason Isaacs|Ewen Bremner|Orlando Bloom|Tom Hardy,Jerry Bruckheimer Films|Revolution Studios|Scott Free Productions,United Kingdom|United States of America,Black Hawk Down,855,tt0265086,7.0
Black Mass,2015,Scott Cooper,Masanobu Takayanagi,David Rosenbloom,Stefania Cella,Jez Butterworth|Mark Mallouk,Scott Cooper|Patrick McCormick|Tyler Thompson|Brian Oliver|John Lesher,Johnny Depp|Joel Edgerton|Julianne Nicholson|Dakota Johnson|Kevin Bacon|Benedict Cumberbatch|Peter Sarsgaard|Juno Temple|Jesse Plemons|David Harbour,Vendian Entertainment|Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac Entertainment|Le Grisbi Productions,United Kingdom|United States of America,Black Mass,261023,tt1355683,7.0
Black Mirror: Bandersnatch,2018,David Slade,Jake Polonsky|Aaron Morton,Tony Kearns,Catrin Meredydd,Charlie Brooker,Russell McLean,Fionn Whitehead|Craig Parkinson|Alice Lowe|Asim Chaudhry|Will Poulter|Tallulah Haddon|Catriona Knox|Paul Bradley|Jonathan Aris|A.J. Houghton,House of Tomorrow,United Kingdom,Black Mirror: Bandersnatch,569547,tt9495224,8.0
Black Panther,2018,Ryan Coogler,Rachel Morrison,Debbie Berman|Michael P. Shawver,Hannah Beachler,Ryan Coogler|Joe Robert Cole,Kevin Feige,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira|Martin Freeman|Daniel Kaluuya|Letitia Wright|Winston Duke|Sterling K. Brown|Angela Bassett,Marvel Studios,United States of America,Black Panther,284054,tt1825683,7.0
Black Swan,2010,Darren Aronofsky,Matthew Libatique,Andrew Weisblum,Thérèse DePrez,John J. McLaughlin|Mark Heyman|Andres Heinz,Mike Medavoy|Scott Franklin|Arnold Messer|Brian Oliver,Natalie Portman|Mila Kunis|Vincent Cassel|Barbara Hershey|Winona Ryder|Benjamin Millepied|Ksenia Solo|Kristina Anapau|Janet Montgomery|Sebastian Stan,Fox Searchlight Pictures|Cross Creek Pictures|Protozoa Pictures|Phoenix Pictures|Dune Entertainment,United States of America,Black Swan,44214,tt0947798,5.0
BlacKkKlansman,2018,Spike Lee,Chayse Irvin,Barry Alexander Brown,Curt Beech,David Rabinowitz|Spike Lee|Charlie Wachtel|Kevin Willmott,Jordan Peele|Raymond Mansfield|Jason Blum|Spike Lee|Shaun Redick|Sean McKittrick,John David Washington|Adam Driver|Topher Grace|Laura Harrier|Alec Baldwin|Jasper Pääkkönen|Corey Hawkins|Paul Walter Hauser|Ryan Eggold|Isiah Whitlock Jr.,Legendary Pictures|QC Entertainment|Blumhouse Productions|Monkeypaw Productions|40 Acres and a Mule Filmworks|Perfect World Pictures,United States of America,BlacKkKlansman,487558,tt7349662,7.0
Blade Runner,1982,Ridley Scott,Jordan Cronenweth,Marsha Nakashima,Lawrence G. Paull,Hampton Fancher|David Webb Peoples,Michael Deeley|Run Run Shaw,Harrison Ford|Rutger Hauer|Sean Young|Edward James Olmos|M. Emmet Walsh|Daryl Hannah|William Sanderson|Brion James|Joe Turkel|Joanna Cassidy,Shaw Brothers|The Ladd Company|Warner Bros. Pictures,United States of America|Hong Kong|United Kingdom,Blade Runner,78,tt0083658,5.0
Blade Runner 2049,2017,Denis Villeneuve,Roger Deakins,Joe Walker,Dennis Gassner,Hampton Fancher|Michael Green,Broderick Johnson|Cynthia Sikes|Bud Yorkin|Andrew A. Kosove,Ryan Gosling|Harrison Ford|Ana de Armas|Dave Bautista|Robin Wright|Sylvia Hoeks|Mackenzie Davis|Jared Leto|Carla Juri|Hiam Abbass,Alcon Entertainment|Columbia Pictures|Scott Free Productions|Bud Yorkin Productions|Torridon Films|16:14 Entertainment,Canada|United Kingdom|United States of America,Blade Runner 2049,335984,tt1856101,9.0
Blades of Glory,2007,Josh Gordon|Will Speck,Stefan Czapsky,Richard Pearson,Stephen J. Lineweaver,Jeff Cox|Craig Cox|John Altschuler|Dave Krinsky|Busy Philipps,Stuart Cornfeld|John Jacobs|Ben Stiller,Will Ferrell|Jon Heder|Will Arnett|Amy Poehler|Jenna Fischer|William Fichtner|Craig T. Nelson|Romany Malco|Nick Swardson|Scott Hamilton,DreamWorks Pictures|MTV Films|Red Hour|Smart Entertainment,United States of America,Blades of Glory,9955,tt0445934,4.0
Blood Simple,1985,Joel Coen,Barry Sonnenfeld,Ethan Coen|Don Wiegmann|Joel Coen,Jane Musky,Joel Coen|Ethan Coen,Ethan Coen,John Getz|Frances McDormand|Dan Hedaya|Samm-Art Williams|M. Emmet Walsh|Deborah Neumann|Raquel Gavia|Van Brooks|Señor Marco|William Creamer,River Road Productions|Foxton Entertainment,United States of America,Blood Simple,11368,tt0086979,6.0
Blue Planet,1990,Ben Burtt,David Douglas,Toni Myers,,Toni Myers,Graeme Ferguson,James Buchli|Toni Myers,IMAX,Canada|United States of America,Blue Planet,15087,tt0099158,6.0
Blue Velvet,1986,David Lynch,Frederick Elmes,Duwayne Dunham,Patricia Norris,David Lynch,Fred C. Caruso,Isabella Rossellini|Kyle MacLachlan|Dennis Hopper|Laura Dern|Hope Lange|Dean Stockwell|George Dickerson|Priscilla Pointer|Frances Bay|Jack Harvey,DEG,United States of America,Blue Velvet,793,tt0090756,3.0
Bo Burnham: Inside,2021,Bo Burnham,Bo Burnham,Bo Burnham,,Bo Burnham,Bo Burnham|Josh Senior,Bo Burnham,Attic Bedroom,United States of America,Bo Burnham: Inside,823754,tt14544192,9.0
Bo Burnham: Make Happy,2016,Bo Burnham|Christopher Storer,Andrew Wehde,Chris Amos,Joe Werner,Bo Burnham,Chris Scanlon|Kathy Welch,Bo Burnham|Lorene Scafaria,Attic Bedroom|3 Arts Entertainment,United States of America,Bo Burnham: Make Happy,400608,tt5192124,9.0
Bo Burnham: What.,2013,Christopher Storer|Bo Burnham,Andrew Wehde,Brenda Carlson,Jim Kronzer,Bo Burnham,Chris Scanlon,Bo Burnham,3 Arts Entertainment|Attic Bedroom|New Wave Entertainment Television,United States of America,Bo Burnham: What.,244001,tt3210258,9.0
"Bo Burnham: Words, Words, Words",2010,Shannon Hartman,,,,Bo Burnham,Michelle Caputo,Bo Burnham,3 Arts Entertainment|Art & Industry,United States of America,"Bo Burnham: Words, Words, Words",47911,tt1747960,8.0
The Wave,2015,Roar Uthaug,John Christian Rosenlund,Christian Siebenherz,Lina Nordqvist,John Kåre Raake|Harald Rosenløw-Eeg|Martin Sundland|Roar Uthaug,Are Heidenstrøm|Martin Sundland,Kristoffer Joner|Ane Dahl Torp|Jonas Hoff Oftebro|Edith Haagenrud-Sande|Fridtjov Såheim|Laila Goody|Arthur Berning|Herman Bernhoft|Eili Harboe|Silje Breivik,Fantefilm|Film i Väst|Tre Vänner,Norway,Bølgen,336882,tt3616916,7.0
Boogie Nights,1997,Paul Thomas Anderson,Robert Elswit,Dylan Tichenor,Bob Ziembicki,Paul Thomas Anderson,Lloyd Levin|JoAnne Sellar|Paul Thomas Anderson|John S. Lyons,Mark Wahlberg|Burt Reynolds|Julianne Moore|John C. Reilly|Heather Graham|Don Cheadle|Philip Seymour Hoffman|William H. Macy|Thomas Jane|Luis Guzmán,New Line Cinema|Lawrence Gordon Productions|Ghoulardi Film Company,United States of America,Boogie Nights,4995,tt0118749,8.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,Jason Woliner,Luke Geissbühler,Michael Giambra|Craig Alpert|James Thomas,David Maturana,Peter Baynham|Jena Friedman|Nina Pedrad|Dan Swimer|Sacha Baron Cohen|Lee Kern|Erica Rivinoja|Anthony Hines|Dan Mazer,Anthony Hines|Monica Levinson|Sacha Baron Cohen,Sacha Baron Cohen|Maria Bakalova|Tom Hanks|Dani Popescu|Manuel Vieru|Miroslav Tolj|Alin Popa|Ion Gheorghe|Nicolae Gheorghe|Marcela Codrea,Oak Springs Productions|Four by Two Films,United States of America,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,740985,tt13143964,7.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,Anthony Hardwick|Luke Geissbühler,Craig Alpert|James Thomas|Peter Teschner,,Sacha Baron Cohen|Dan Mazer|Anthony Hines|Peter Baynham|Todd Phillips,Sacha Baron Cohen|Jay Roach,Sacha Baron Cohen|Ken Davitian|Luenell|Pamela Anderson|Bob Barr|Alan Keyes|Carole De Saram|Mitchell Falk|Andre Darnell Myers|Jean-Pierre Parent,20th Century Fox|Everyman Pictures|Four by Two|Talkback|Channel 4 Television|Dune Entertainment|One America,United Kingdom|United States of America,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,496,tt0443453,7.0
Bowling for Columbine,2002,Michael Moore,,Kurt Engfehr,,Michael Moore,Jim Czarnecki|Michael Donovan|Charles Bishop|Kathleen Glynn|Michael Moore,Michael Moore|George H. W. Bush|George W. Bush|Charlton Heston|Jacobo Árbenz|Mike Bradley|Dick Clark|Arthur A. Busch|Michael Caldwell|Richard Castaldo,Vif Babelsberger Filmproduktion|Alliance Atlantis|Dog Eat Dog Films|Salter Street Films|United Artists,Canada|Germany|United States of America,Bowling for Columbine,1430,tt0310793,3.0
Boyhood,2014,Richard Linklater,Lee Daniel|Shane F. Kelly,Sandra Adair,Gay Studebaker|Rodney Becker,Richard Linklater,Cathleen Sutherland|Richard Linklater|Jonathan Sehring|John Sloss,Ellar Coltrane|Patricia Arquette|Ethan Hawke|Lorelei Linklater|Libby Villari|Marco Perella|Brad Hawkins|Jamie Howard|Andrew Villarreal|Jenni Tooley,IFC Productions|Detour Filmproduction,United States of America,Boyhood,85350,tt1065073,6.0
Braveheart,1995,Mel Gibson,John Toll,Steven Rosenblum,Thomas E. Sanders,Randall Wallace,Mel Gibson|Bruce Davey|Alan Ladd Jr.,Mel Gibson|Catherine McCormack|Sophie Marceau|Patrick McGoohan|Angus Macfadyen|Brendan Gleeson|James Robinson|James Cosmo|Sean McGinley|Gerda Stevenson,The Ladd Company|Icon Productions,United States of America,Braveheart,197,tt0112573,9.0
Brazil,1985,Terry Gilliam,Roger Pratt,Julian Doyle,Norman Garwood,Tom Stoppard|Terry Gilliam|Charles McKeown,Arnon Milchan|Patrick Cassavetti,Jonathan Pryce|Robert De Niro|Katherine Helmond|Ian Holm|Bob Hoskins|Michael Palin|Ian Richardson|Peter Vaughan|Kim Greist|Jim Broadbent,Embassy International Pictures,United Kingdom|United States of America,Brazil,68,tt0088846,8.0
Breaking the Waves,1996,Lars von Trier,Robby Müller,Anders Refn,Karl Júlíusson,Lars von Trier,Peter Aalbæk Jensen|Vibeke Windeløv,Emily Watson|Stellan Skarsgård|Katrin Cartlidge|Jean-Marc Barr|Adrian Rawlins|Jonathan Hackett|Sandra Voe|Udo Kier|Mikkel Gaup|Roef Ragas,Zentropa Entertainments|Liberator Productions|Trust Film Svenska|Argus Film Produktie|Northern Lights|SVT Drama|Nordisk Film & TV Fond|La Sept Cinéma|VPRO|Media Investment Club,Denmark|France|Netherlands|Norway|Sweden,Breaking the Waves,145,tt0115751,5.0
Bronson,2009,Nicolas Winding Refn,Larry Smith,Matthew Newman,Adrian Smith,Brock Norman Brock|Nicolas Winding Refn,Danny Hansford|Rupert Preston,Tom Hardy|Matt King|James Lance|Kelly Adams|Katy Barker|Amanda Burton|Andrew Forbes|Jon House|Juliet Oldfield|Mark Powley,Vertigo Films|4DH Films|Aramid Entertainment|Str8jacket Creations|EM Media|Scanbox Production|Protagonist Pictures,United Kingdom|Denmark,Bronson,18533,tt1172570,7.0
Bugonia,2025,Yorgos Lanthimos,Robbie Ryan,Yorgos Mavropsaridis,James Price,Will Tracy,Andrew Lowe|Ed Guiney|Yorgos Lanthimos|Emma Stone|Lars Knudsen|Ari Aster|Jerry Kyoungboum Ko|Miky Lee,Emma Stone|Jesse Plemons|Aidan Delbis|Stavros Halkias|Alicia Silverstone|J. Carmen Galindez Barrera|Marc T. Lewis|Vanessa Eng|Cedric Dumornay|Momma Cherri,Element Pictures|Square Peg|Fremantle|Pith Quest Films|Fruit Tree|CJ ENM,Ireland|South Korea|United States of America|Canada,Bugonia,701387,tt12300742,6.0
Bullitt,1968,Peter Yates,William A. Fraker,Frank P. Keller,,Harry Kleiner|Alan Trustman,Philip D'Antoni,Steve McQueen|Robert Vaughn|Jacqueline Bisset|Don Gordon|Robert Duvall|Simon Oakland|Norman Fell|Georg Stanford Brown|Justin Tarr|Carl Reindel,Warner Bros.-Seven Arts|Solar Productions,United States of America,Bullitt,916,tt0062765,5.0
